,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
0,The Sereno-3,"8,1",Ottimo ,10 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 242,"3,5 km dal centro","Trionfale, Roma",,4.0,Appartamento con 2 Camere da Letto e Vista Città,Intero appartamento • 2 camere da letto • 1 bagno • 1 cucina • 88 m²,"Appartamento con 2 Camere da Letto e Vista CittàIntero appartamento • 2 camere da letto • 1 bagno • 1 cucina • 88 m²3 letti (2 matrimoniali grandi, 1 divano letto)"
1,Sonder by Marriott Bonvoy Piazza Venezia Apartments,"8,1",Ottimo ,321 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 322,150 m dal centro,"Pantheon, Roma",3.0,,Camera Queen ,Configurazione camera non disponibile,Camera Queen 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
2,GuestHouse Martin,"8,8",Favoloso ,267 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 69,"3,3 km dal centro","Villa Borghese/Parioli, Roma",,4.0,Camera Doppia con Letti Singoli con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Doppia con Letti Singoli con Bagno Privato Esterno Vari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
3,ASTORIA GOLDEN GATE,"8,9",Favoloso ,1.446 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 110,2 km dal centro,"Stazione Termini, Roma",2.0,,Camera Matrimoniale Superior ,Configurazione camera non disponibile,Camera Matrimoniale Superior Vari tipi di lettoCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
4,Magnifico Rome,"7,8",Buono ,781 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 107,"1,1 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
5,Ann Inn,"7,9",Buono ,990 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 97,"1,8 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito
6,Hotel Suite Caesar,"7,7",Buono ,659 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 79,"1,9 km dal centro","Stazione Termini, Roma",2.0,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 3 camere a questo prezzo sul nostro sito
7,SmooRoomS Trastevere,"7,7",Buono ,263 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 105,"2,7 km dal centro","Gianicolense, Roma",,4.0,Camera Queen con Balcone,Configurazione camera non disponibile,Camera Queen con Balcone1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
8,Black Rooms Colosseo,"8,9",Favoloso ,3.161 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 110,"1,6 km dal centro","Rione Monti, Roma",,4.0,Camera King Standard,Configurazione camera non disponibile,Camera King Standard1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
9,Chigi's Terrace,Novità su booking,Novità su booking,Novità su booking,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 350,"5,2 km dal centro",Roma,,4.0,Appartamento con 3 Camere da Letto,Configurazione camera non disponibile,"Appartamento con 3 Camere da Letto3 letti (2 divani letto, 1 matrimoniale)"
10,Leoni di Giada GUESTHOUSE - close to CENTRAL STATION,"7,9",Buono ,264 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 103,"1,5 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale largeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
11,Nori Guest House,"8,2",Ottimo ,723 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 87,"1,6 km dal centro","Rione Monti, Roma",,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno in Comune,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Bagno in Comune2 letti singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
12,ECCE ROMA,"8,2",Ottimo ,489 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 125,"1,4 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale StandardLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
13,Comfy Vatican Suite,"8,6",Favoloso ,797 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 102,"2,9 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
14,House 4 Mori,"8,8",Favoloso ,272 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 119,"1,9 km dal centro","Centro di Roma, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto singoloCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito
15,Clara Domus,"7,0",Buono ,500 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 90,"1,9 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
16,MC Guest House,"8,1",Ottimo ,538 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 84,"2,5 km dal centro","San Giovanni, Roma",,,Camera Matrimoniale con Bagno in Comune ,Configurazione camera non disponibile,"Camera Matrimoniale con Bagno in Comune 2 letti (1 singolo, 1 matrimoniale alla francese)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
