,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
0,de hotel paris,69,terni,Terni,869.0,
1,bb cospea,55,terni,Terni,674.0,3.0
2,bedbreakfast rosy,77,terni,Terni,330.0,4.0
3,angolo bb verde,69,terni,Terni,219.0,3.0
4,filomena guest house santa,74,terni,Terni,11.0,3.0
5,asso residence,79,terni,Terni,1.0,3.0
6,asso ospedale residence,89,terni,Terni,1.0,3.0
7,bb maria villa,74,terni,Terni,253.0,4.0
8,asso gold residence,94,terni,Terni,17.0,3.0
9,asso centro residence,81,terni,Terni,980.0,3.0
10,residence viviverde,76,terni,Terni,620.0,4.0
11,100 civico,72,terni,Terni,49.0,3.0
12,classic hotel tulipano,128,terni,Terni,406.0,
13,angolo verde,63,terni,Terni,7.0,
14,via,84,terni,Terni,76.0,3.0
15,a alma casa di,81,terni,Terni,101.0,3.0
16,home welcome,87,terni,Terni,56.0,4.0
17,hotel michelangelo palace spa,174,terni,Terni,669.0,
18,hotel valentino,258,terni,Terni,754.0,
19,camere di ettore le,79,terni,Terni,103.0,3.0
20,as maison,89,terni,Terni,109.0,3.0
21,alan casa di la,80,terni,Terni,257.0,3.0
22,2 appartamenti cerqueto il,74,terni,Terni,153.0,3.0
23,adelma piedàterre,53,terni,Terni,,
24,white,67,terni,Terni,218.0,3.0
25,garden hotel terni,138,terni,Terni,477.0,
26,aryhouse,85,terni,Terni,27.0,3.0
27,colonne tre,76,terni,Terni,21.0,3.0
28,asso residence stazione,94,terni,Terni,61.0,3.0
29,ggapartment,129,terni,Terni,89.0,3.0
30,di giardino il venere,74,terni,Terni,86.0,3.0
31,casa nel verde,59,terni,Terni,141.0,3.0
32,bilocale casetta con giardino la privato,109,terni,Terni,56.0,4.0
33,home mm’s,85,terni,Terni,168.0,3.0
34,appartamenti e marmore natura terra,113,terni,Terni,134.0,3.0
35,francesco home san,84,terni,Terni,17.0,3.0
36,luxury monumenti suites tre,113,terni,Terni,3.0,3.0
37,alloggi il teatro,93,terni,Terni,112.0,3.0
38,bilocale delizioso for house palmira two,94,terni,Terni,113.0,4.0
39,2 white,73,terni,Terni,19.0,3.0
40,casa contea la nella,92,terni,Terni,21.0,3.0
41,casa di emma la,94,terni,Terni,90.0,3.0
42,appartamento exclusive house interamna intero use,97,terni,Terni,3.0,3.0
43,castagni collina dei la,134,terni,Terni,1.0,4.0
44,civico sessantasei,104,terni,Terni,6.0,3.0
45,66 civico,100,terni,Terni,9.0,3.0
46,alloggi matilde primavera,115,terni,Terni,1.0,3.0
47,bed rio,94,terni,Terni,4.0,3.0
48,af house,107,terni,Terni,6.0,
49,house lover the,82,terni,Terni,6.0,4.0
50,gli ospiti per tana,81,terni,Terni,66.0,3.0
51,centro in terni,124,terni,Terni,51.0,3.0
52,alloggi anna primavera,141,terni,Terni,,
53,casa di milly,80,terni,Terni,1.0,
54,la severa,94,terni,Terni,51.0,4.0
55,and bed breakfast san valentino,99,terni,Terni,46.0,3.0
56,acqua marmore,125,terni,Terni,82.0,3.0
57,bice house,144,terni,Terni,20.0,4.0
58,belvedere valenza,97,terni,Terni,14.0,3.0
59,alloggio e narni terni tra,128,terni,Terni,19.0,3.0
60,casa chiara vacanze,104,terni,Terni,3.0,4.0
61,alloggio bis casa di glenda la ospedale zona,94,terni,Terni,36.0,3.0
62,di ema fattoria la,69,terni,Terni,27.0,3.0
63,casa di glenda la ospedale,90,terni,Terni,23.0,3.0
64,bilocale degli innamorati,107,terni,Terni,57.0,3.0
65,cuore di terni,96,terni,Terni,,
66,frantoio pistelli,81,terni,Terni,6.0,
67,capriolo con del dimora e favolosa giardino parcheggio,216,terni,Terni,13.0,3.0
68,2 la severa,96,terni,Terni,11.0,4.0
69,15min ampio appartamento cuore e marmore terra,182,terni,Terni,,
70,sereno3 the,242,trionfale,Roma,10.0,4.0
71,apartments bonvoy by marriott piazza sonder venezia,322,pantheon,Roma,321.0,
72,guesthouse martin,69,villa borghese/parioli,Roma,267.0,4.0
73,astoria gate golden,110,stazione termini,Roma,1.0,
74,magnifico,107,stazione termini,Roma,781.0,4.0
75,ann inn,97,stazione termini,Roma,990.0,3.0
76,caesar hotel suite,79,stazione termini,Roma,659.0,
77,smoorooms trastevere,105,gianicolense,Roma,263.0,4.0
78,black colosseo rooms,110,monti,Roma,3.0,4.0
79,chigis terrace,350,,Roma,,4.0
80,central close di giada guesthouse leoni station to,103,stazione termini,Roma,264.0,3.0
81,guest house nori,87,monti,Roma,723.0,
82,ecce,125,stazione termini,Roma,489.0,4.0
83,comfy suite vatican,102,trionfale,Roma,797.0,4.0
84,4 house mori,119,centro,Roma,272.0,4.0
85,clara domus,90,stazione termini,Roma,500.0,3.0
86,guest house mc,84,san giovanni,Roma,538.0,
87,art navona suite,162,navona,Roma,1.0,4.0
88,guest house i love,113,vaticano prati,Roma,952.0,4.0
89,casa di iulia la,126,vaticano prati,Roma,366.0,4.0
90,guests heaven,91,,Roma,1.0,4.0
91,mecenate rooms,127,monti,Roma,446.0,4.0
92,castroni domus scipioni,126,vaticano prati,Roma,432.0,4.0
93,guest house love we,153,vaticano prati,Roma,974.0,4.0
94,colosseo relais,120,monti,Roma,513.0,4.0
95,oscar rooms,94,stazione termini,Roma,788.0,2.0
96,boutique guesthouse music peter st suites,163,vaticano prati,Roma,197.0,4.0
97,pantheon relais terrace,366,pantheon,Roma,907.0,
98,penthouse private suite suites,270,trevi,Roma,438.0,4.0
99,fiori hotel,150,monti,Roma,718.0,
100,city garden massimi,327,trionfale,Roma,1.0,
101,150 bhr cavour,170,monti,Roma,235.0,4.0
102,hotel pacific,237,trionfale,Roma,4.0,
103,collection di filippo mate romefontana room trevi,384,via veneto,Roma,1.0,
104,47 goldoni,286,spagna,Roma,268.0,
105,di my piazza spagna suites,205,spagna,Roma,616.0,4.0
106,little queen suite,243,pantheon,Roma,1.0,4.0
107,design g55 hotel,273,pantheon,Roma,753.0,
108,luxury parisii relais,251,via veneto,Roma,783.0,4.0
109,collection nikis trastevere,251,trastevere,Roma,1.0,4.0
110,boutique charme hotel spagna,249,spagna,Roma,1.0,
111,luxury navona,219,navona,Roma,875.0,4.0
112,collection condotti goldoni palazzo,440,spagna,Roma,383.0,4.0
113,inn minerva monks,206,pantheon,Roma,1.0,4.0
114,dei hotel papi relais,264,vaticano prati,Roma,3.0,
115,colonna inn,304,vaticano prati,Roma,131.0,4.0
116,jb luxury relais,201,navona,Roma,571.0,4.0
117,cancelleriadieci,198,navona,Roma,688.0,4.0
118,minerva relais,278,pantheon,Roma,604.0,4.0
119,ht maximus residence,256,colosseo,Roma,1.0,4.0
120,and apartment luxury rooms unique,188,villa borghese/parioli,Roma,813.0,4.0
