id_booking,id_agoda,titolo_booking,titolo_agoda,similarity,pair,città_booking,città_agoda,prezzo_booking,prezzo_agoda
1,6,sonder by marriott bonvoy piazza venezia apartments,sonder by marriott bonvoy piazza venezia apartments,1.0,1#6, Roma, Roma ,322,228
3,391,astoria golden gate,astoria golden gate,1.0,3#391, Roma, Roma ,110,110
17,288,suite art navona,suite art navona,1.0,17#288, Roma, Roma ,162,162
27,487,terrace pantheon relais,terrace pantheon relais,1.0,27#487, Roma, Roma ,366,366
29,535,hotel fiori,hotel fiori,1.0,29#535, Roma, Roma ,150,150
31,247,bhr cavour 150,bhr cavour 150,1.0,31#247, Roma, Roma ,170,122
33,530,room mate collection filippo rome fontana di trevi,room mate collection filippo rome fontana di trevi,1.0,33#530, Roma, Roma ,384,358
44,142,hotel relais dei papi,hotel relais dei papi,1.0,44#142, Roma, Roma ,264,226
58,510,torre argentina relais residenze di charme,torre argentina relais residenze di charme,1.0,58#510, Roma, Roma ,282,282
61,217,profumo maison colosseo,profumo maison colosseo,1.0,61#217, Roma, Roma ,194,163
74,447,charme chic luxury,charme chic luxury,1.0,74#447, Roma, Roma ,304,221
79,497,corso boutique luxury rooms,corso boutique luxury rooms,1.0,79#497, Roma, Roma ,306,198
85,103,the romehello,the romehello,1.0,85#103, Roma, Roma ,161,146
88,140,orazio palace hotel,orazio palace hotel,1.0,88#140, Roma, Roma ,234,204
91,42,grand hotel fleming by omnia hotels,grand hotel fleming by omnia hotels,1.0,91#42, Roma, Roma ,156,121
102,340,moderno hotel roma,moderno hotel roma,1.0,102#340, Roma, Roma ,175,138
103,72,hotel caravel,hotel caravel,1.0,103#72, Roma, Roma ,140,116
115,212,casa san giuseppe,casa san giuseppe,1.0,115#212, Roma, Roma ,154,120
121,473,the spanish suite campo de fiori,the spanish suite campo de fiori,1.0,121#473, Roma, Roma ,255,316
139,7,hotel american palace eur,hotel american palace eur,1.0,139#7, Roma, Roma ,135,105
140,419,ludus rooms,ludus rooms,1.0,140#419, Roma, Roma ,414,412
143,68,camplus hotel roma centro,camplus hotel roma centro,1.0,143#68, Roma, Roma ,180,178
145,178,madison hotel,madison hotel,1.0,145#178, Roma, Roma ,184,124
149,527,arenula suites,arenula suites,1.0,149#527, Roma, Roma ,221,221
152,243,grand hotel plaza,grand hotel plaza,1.0,152#243, Roma, Roma ,376,345
158,289,hotel latinum,hotel latinum,1.0,158#289, Roma, Roma ,152,123
161,141,holiday inn rome eur parco dei medici by ihg,holiday inn rome eur parco dei medici by ihg,1.0,161#141, Roma, Roma ,190,190
162,344,crowne plaza rome st peters by ihg,crowne plaza rome st peters by ihg,1.0,162#344,, Roma ,245,245
164,95,occidental aran park,occidental aran park hotel,0.9538461538461538,164#95, Roma, Roma ,128,124
167,420,marta inn,marta inn,1.0,167#420, Roma, Roma ,193,113
169,10,ibis roma fiera,ibis roma fiera,1.0,169#10, Roma, Roma ,108,96
174,368,maison tritone,maison tritone,1.0,174#368, Roma, Roma ,321,321
181,310,hotel mecenate palace,hotel mecenate palace,1.0,181#310, Roma, Roma ,271,230
183,120,casa i cappuccini,casa i cappuccini,1.0,183#120, Roma, Roma ,164,133
187,147,albani hotel roma,albani roma hotel,0.9529411764705882,187#147,, Roma ,150,124
188,379,nazionale palace suites,nazionale palace suites,1.0,188#379, Roma, Roma ,206,154
197,38,hotel ripa roma,hotel ripa roma,1.0,197#38, Roma, Roma ,179,122
204,430,ibis styles roma eur,ibis styles roma aurelia,0.9566666666666667,204#430, Roma, Roma ,178,130
205,86,generator rome,generator rome,1.0,205#86, Roma, Roma ,173,173
213,375,hotel croce di malta,hotel croce di malta,1.0,213#375, Roma, Roma ,165,165
219,129,augusta lucilla palace,augusta lucilla palace hotel,0.9571428571428571,219#129, Roma, Roma ,201,166
222,155,hotel villa glori,hotel villa glori,1.0,222#155, Roma, Roma ,802,752
231,82,hotel piemonte,hotel piemonte,1.0,231#82, Roma, Roma ,176,155
