id_booking,id_agoda,titolo_booking,titolo_agoda,città_booking,città_agoda,zona_booking,zona_agoda,name_similarity,città_similarity,pair,prezzo_booking,prezzo_agoda
1,6,sonder by marriott bonvoy piazza venezia apartments,sonder by marriott bonvoy piazza venezia apartments,roma,roma,Pantheon,Pantheon,1.0,1.0,1#6,322,228
697,250,hilton rome eur la lama,hilton rome eur la lama,roma,roma,Eur,Eur e Garbatella,1.0,1.0,697#250,172,172
649,59,hotel cilicia,hotel cilicia,roma,roma,San Giovanni,Appio Latino,1.0,1.0,649#59,110,110
651,532,hotel mosaic central rome,hotel mosaic central rome,roma,roma,Rione Monti,Monti,1.0,1.0,651#532,156,156
653,352,hotel white,hotel white,roma,roma,Trevi,Fontana di Trevi,1.0,1.0,653#352,322,279
654,397,starhotels michelangelo rome,starhotels michelangelo rome,roma,roma,Aurelio,Città del Vaticano,1.0,1.0,654#397,219,211
659,20,hotel oriente,hotel oriente,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,659#20,158,80
871,564,bed and breakfast san valentino,bed and breakfast san valentino,terni,terni,Terni,Terni,1.0,1.0,871#564,99,99
660,27,hotel raganelli,hotel raganelli,roma,roma,Aurelio,Aurelio e Monteverde,1.0,1.0,660#27,116,92
674,533,mosaic central guest house,mosaic central guest house,roma,roma,Rione Monti,Monti,1.0,1.0,674#533,136,136
676,461,hotel virginia,hotel virginia,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,676#461,107,107
678,499,tagliaferri lucia,tagliaferri lucia,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,678#499,132,132
689,177,suitesistina for brave lovers,suitesistina for brave lovers,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,689#177,255,228
692,300,the republic,the republic,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,692#300,316,269
699,362,hotel nardizzi americana,hotel nardizzi americana,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,699#362,240,240
644,84,colonna palace hotel,colonna palace hotel,roma,roma,Pantheon,Pantheon,1.0,1.0,644#84,331,203
701,146,hotel marcantonio,hotel marcantonio,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,701#146,180,155
703,121,hotel imperatori,hotel imperatori,roma,roma,Tiburtino,Roma Nord,1.0,1.0,703#121,96,77
707,3,rome cavalieri a waldorf astoria hotel,rome cavalieri a waldorf astoria hotel,roma,roma,Trionfale,Trionfale,1.0,1.0,707#3,1620,1620
870,634,la severa,la severa,terni,terni,Terni,Terni,1.0,1.0,870#634,94,94
711,179,hotel santa costanza by omnia hotels,hotel santa costanza by omnia hotels,roma,roma,Nomentano,Nomentano,1.0,1.0,711#179,228,133
726,455,nhow roma,nhow roma,roma,roma,Via Veneto,Via Veneto,1.0,1.0,726#455,250,248
728,293,relais palazzo taverna,relais palazzo taverna,roma,roma,Piazza Navona,Piazza Navona,1.0,1.0,728#293,135,135
732,90,hotel best roma,hotel best roma,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,732#90,188,126
735,207,hotel virgilio,hotel virgilio,roma,roma,Rione Monti,Monti,1.0,1.0,735#207,163,156
740,427,trevi 41 hotel,trevi 41 hotel,roma,roma,Trevi,Fontana di Trevi,1.0,1.0,740#427,210,177
742,506,residenza frattina,residenza frattina,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,742#506,210,172
745,348,hotel della torre argentina,hotel della torre argentina,roma,roma,Pantheon,Pantheon,1.0,1.0,745#348,294,294
645,201,flower garden hotel,flower garden hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,645#201,177,177
636,89,palazzo santantonio,palazzo santantonio,roma,roma,Aurelio,Trionfale,1.0,1.0,636#89,85,63
760,160,warmthotel,warmthotel,roma,roma,Fonte Ostiense,Eur e Garbatella,1.0,1.0,760#160,164,128
572,213,hotel rimini,hotel rimini,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,572#213,104,96
